Cliente,Idade,Plano,Tempo_Contrato_Meses,Mensalidade,Reclamacoes,Chamados_Suporte,Regiao,Churn,Faixa_Etaria,Faixa_Contrato
Cliente 0691,37,Standard,11,114.21,1,0,Nordeste,Sim,36-45,0-12
Cliente 0758,39,Básico,4,73.94,0,4,Norte,Sim,36-45,0-12
Cliente 0346,38,Básico,38,60.27,4,1,Sul,Sim,36-45,37-48
Cliente 0122,34,Premium,24,170.8,7,1,Sudeste,Não,26-35,13-24
Cliente 0665,54,Básico,22,67.23,6,2,Sudeste,Sim,46-55,13-24
Cliente 0526,52,Básico,14,63.24,0,0,Sudeste,Não,46-55,13-24
Cliente 0501,32,Standard,1,118.55,2,2,Sul,Sim,26-35,0-12
Cliente 0972,65,Standard,17,123.33,4,3,Nordeste,Não,56+,13-24
Cliente 0939,70,Básico,18,62.1,1,8,Norte,Não,56+,13-24
Cliente 0449,68,Standard,3,105.2,0,0,Sudeste,Não,56+,0-12
Cliente 0864,65,Premium,19,168.65,3,1,Sudeste,Não,56+,13-24
Cliente 0779,34,Standard,53,114.66,1,5,Sudeste,Não,26-35,49+
Cliente 0041,31,Básico,60,60.55,1,1,Norte,Não,26-35,49+
Cliente 0716,38,Básico,58,75.9,0,1,Norte,Não,36-45,49+
Cliente 0218,26,Básico,58,66.9,5,3,Nordeste,Não,26-35,49+
Cliente 0308,23,Premium,9,162.88,0,6,Norte,Sim,18-25,0-12
Cliente 0529,41,Standard,19,108.86,1,2,Sul,Sim,36-45,13-24
Cliente 0826,33,Básico,9,76.11,3,0,Sudeste,Sim,26-35,0-12
Cliente 0158,46,Básico,6,66.76,1,0,Sudeste,Não,46-55,0-12
Cliente 0251,65,Standard,15,110.57,3,3,Sudeste,Sim,56+,13-24
Cliente 0125,21,Básico,17,63.23,0,1,Sudeste,Não,18-25,13-24
Cliente 0724,57,Standard,42,106.98,8,2,Norte,Não,56+,37-48
Cliente 0330,70,Básico,45,60.39,0,0,Sudeste,Não,56+,37-48
Cliente 0350,24,Básico,44,66.93,2,0,Norte,Não,18-25,37-48
Cliente 0908,38,Standard,45,105.46,4,2,Centro-Oeste,Não,36-45,37-48
Cliente 0369,31,Básico,49,71.5,2,8,Nordeste,Não,26-35,49+
Cliente 0170,66,Básico,19,72.49,0,3,Sudeste,Sim,56+,13-24
Cliente 0382,30,Standard,28,121.87,3,0,Sudeste,Não,26-35,25-36
Cliente 0407,69,Standard,28,101.07,1,1,Norte,Não,56+,25-36
Cliente 0530,69,Básico,6,82.95,6,0,Norte,Sim,56+,0-12
Cliente 0035,55,Premium,1,157.92,1,3,Norte,Sim,46-55,0-12
Cliente 0655,26,Standard,46,109.02,1,1,Sul,Não,26-35,37-48
Cliente 0310,27,Básico,40,74.11,0,3,Centro-Oeste,Sim,26-35,37-48
Cliente 0933,56,Básico,47,67.21,0,2,Nordeste,Não,56+,37-48
Cliente 0164,26,Standard,28,103.37,2,1,Sul,Não,26-35,25-36
Cliente 0371,64,Básico,25,78.46,0,0,Sul,Não,56+,25-36
Cliente 0160,56,Standard,35,118.41,5,6,Sudeste,Não,56+,25-36
Cliente 0288,57,Premium,5,171.87,6,2,Norte,Sim,56+,0-12
Cliente 0184,51,Premium,13,154.24,1,4,Sudeste,Sim,46-55,13-24
Cliente 0611,68,Básico,59,78.8,0,5,Nordeste,Não,56+,49+
Cliente 0692,31,Básico,37,65.97,0,11,Centro-Oeste,Não,26-35,37-48
Cliente 0835,28,Standard,17,106.37,0,1,Sudeste,Não,26-35,13-24
Cliente 0022,34,Básico,33,61.91,0,0,Sul,Não,26-35,25-36
Cliente 0803,70,Básico,29,80.98,1,6,Nordeste,Não,56+,25-36
Cliente 0725,69,Básico,28,80.04,2,2,Centro-Oeste,Não,56+,25-36
Cliente 0284,58,Básico,11,79.63,0,11,Norte,Não,56+,0-12
Cliente 0784,40,Premium,36,173.79,1,1,Centro-Oeste,Sim,36-45,25-36
Cliente 0976,69,Básico,57,80.53,0,0,Sul,Não,56+,49+
Cliente 0727,29,Básico,45,60.44,2,3,Sudeste,Não,26-35,37-48
Cliente 0736,43,Standard,23,114.07,1,1,Sudeste,Não,36-45,13-24
Cliente 0161,54,Premium,11,154.86,0,2,Centro-Oeste,Sim,46-55,0-12
Cliente 0645,62,Básico,19,63.73,0,2,Centro-Oeste,Não,56+,13-24
Cliente 0121,46,Standard,53,119.35,1,3,Sudeste,Não,46-55,49+
Cliente 0397,70,Básico,45,77.68,2,2,Sudeste,Não,56+,37-48
Cliente 0128,59,Básico,6,82.61,0,1,Sul,Não,56+,0-12
Cliente 0770,26,Premium,41,150.13,2,1,Nordeste,Não,26-35,37-48
Cliente 0759,60,Básico,44,77.9,0,2,Sudeste,Sim,56+,37-48
Cliente 0081,68,Standard,22,107.78,2,5,Sudeste,Não,56+,13-24
Cliente 0393,21,Básico,49,62.84,5,0,Sudeste,Não,18-25,49+
Cliente 0780,38,Básico,48,74.32,1,2,Norte,Não,36-45,37-48
Cliente 0523,62,Básico,18,76.83,1,1,Sudeste,Não,56+,13-24
Cliente 0450,57,Premium,56,154.34,2,0,Sudeste,Sim,56+,49+
Cliente 0985,29,Nao informado,52,109.37,0,0,Sudeste,Sim,26-35,49+
Cliente 0149,55,Premium,40,155.85,1,1,Sudeste,Não,46-55,37-48
Cliente 0193,57,Básico,13,82.26,0,2,Sul,Sim,56+,13-24
Cliente 0023,30,Básico,15,62.03,0,1,Sudeste,Não,26-35,13-24
Cliente 0182,66,Premium,31,161.25,0,1,Sudeste,Não,56+,25-36
Cliente 0572,19,Premium,39,171.39,0,11,Norte,Não,18-25,37-48
Cliente 0176,50,Básico,45,70.44,1,0,Sudeste,Não,46-55,37-48
Cliente 0739,47,Standard,7,111.61,2,5,Sul,Sim,46-55,0-12
Cliente 0123,18,Standard,15,124.49,0,2,Nordeste,Não,18-25,13-24
Cliente 0952,69,Standard,29,111.72,1,0,Sudeste,Não,56+,25-36
Cliente 0956,20,Premium,41,172.5,0,4,Sudeste,Sim,18-25,37-48
Cliente 0988,61,Básico,45,79.03,2,5,Sudeste,Não,56+,37-48
Cliente 0548,60,Básico,31,61.08,6,1,Sul,Não,56+,25-36
Cliente 0417,28,Básico,41,73.61,2,5,Sul,Não,26-35,37-48
Cliente 0869,20,Standard,35,116.43,4,1,Sudeste,Sim,18-25,25-36
Cliente 0213,49,Premium,60,151.8,0,0,Sudeste,Não,46-55,49+
Cliente 0067,39,Premium,43,153.53,0,9,Sudeste,Não,36-45,37-48
Cliente 0586,42,Básico,29,62.85,1,3,Sudeste,Não,36-45,25-36
Cliente 0285,24,Premium,59,155.02,4,0,Sudeste,Não,18-25,49+
Cliente 0191,40,Standard,17,122.57,1,0,Sul,Não,36-45,13-24
Cliente 0085,49,Standard,1,112.63,0,12,Sudeste,Sim,46-55,0-12
Cliente 0243,21,Premium,48,172.3,1,0,Sudeste,Não,18-25,37-48
Cliente 0658,26,Básico,52,80.32,0,2,Nordeste,Não,26-35,49+
Cliente 0913,54,Básico,43,83.66,2,4,Centro-Oeste,Sim,46-55,37-48
Cliente 0156,65,Básico,36,78.03,0,1,Sul,Sim,56+,25-36
Cliente 0332,19,Nao informado,2,170.39,1,3,Sudeste,Sim,18-25,0-12
Cliente 0889,53,Básico,42,62.84,3,1,Nordeste,Não,46-55,37-48
Cliente 0357,35,Standard,24,104.2,0,0,Centro-Oeste,Não,26-35,13-24
Cliente 0846,68,Premium,15,170.12,0,1,Sudeste,Não,56+,13-24
Cliente 0519,58,Premium,13,165.74,7,2,Sudeste,Sim,56+,13-24
Cliente 0102,32,Standard,11,117.3,3,1,Sudeste,Não,26-35,0-12
Cliente 0229,70,Básico,15,77.79,0,4,Sudeste,Não,56+,13-24
Cliente 0283,32,Básico,18,71.01,3,0,Sudeste,Não,26-35,13-24
Cliente 0513,51,Básico,14,64.18,1,3,Nordeste,Sim,46-55,13-24
Cliente 0891,53,Premium,26,159.95,0,11,Sudeste,Não,46-55,25-36
Cliente 0993,59,Básico,6,72.03,1,5,Nordeste,Não,56+,0-12
Cliente 0277,60,Standard,48,103.93,4,0,Nordeste,Não,56+,37-48
Cliente 0647,59,Premium,36,174.46,2,4,Sudeste,Sim,56+,25-36
Cliente 0095,64,Básico,29,77.77,1,0,Centro-Oeste,Não,56+,25-36
Cliente 0431,45,Premium,34,157.99,1,2,Sudeste,Não,36-45,25-36
Cliente 0608,36,Standard,55,118.92,0,1,Sul,Não,36-45,49+
Cliente 0279,18,Premium,51,155.39,5,0,Norte,Sim,18-25,49+
Cliente 0578,59,Standard,41,100.02,3,3,Sul,Não,56+,37-48
Cliente 0557,70,Básico,52,64.55,8,1,Sudeste,Sim,56+,49+
Cliente 0246,33,Básico,41,83.25,2,1,Sul,Sim,26-35,37-48
Cliente 0333,45,Standard,13,117.6,4,0,Nordeste,Sim,36-45,13-24
Cliente 0965,43,Standard,11,114.57,0,0,Sul,Não,36-45,0-12
Cliente 0713,38,Básico,55,81.13,8,0,Centro-Oeste,Sim,36-45,49+
Cliente 0462,52,Básico,5,83.05,0,0,Sudeste,Sim,46-55,0-12
Cliente 0954,38,Standard,9,105.64,1,1,Centro-Oeste,Não,36-45,0-12
Cliente 0290,28,Premium,57,161.11,1,2,Nordeste,Não,26-35,49+
Cliente 0627,65,Standard,33,107.87,0,5,Sul,Não,56+,25-36
Cliente 0143,21,Premium,22,158.34,2,1,Sul,Sim,18-25,13-24
Cliente 0919,70,Básico,23,66.41,3,0,Nordeste,Não,56+,13-24
Cliente 0684,65,Standard,14,109.85,5,0,Sudeste,Não,56+,13-24
Cliente 0477,68,Básico,45,62.59,4,0,Sudeste,Sim,56+,37-48
Cliente 0690,40,Premium,33,168.84,0,3,Sudeste,Não,36-45,25-36
Cliente 0293,25,Standard,51,123.24,1,0,Norte,Não,18-25,49+
Cliente 0453,70,Premium,46,154.32,2,0,Nordeste,Sim,56+,37-48
Cliente 0046,57,Básico,34,68.73,1,1,Norte,Não,56+,25-36
Cliente 0533,63,Básico,20,78.75,4,4,Nordeste,Não,56+,13-24
Cliente 0493,47,Básico,30,66.23,7,3,Nordeste,Sim,46-55,25-36
Cliente 0704,67,Básico,56,81.85,4,4,Sul,Sim,56+,49+
Cliente 0663,26,Básico,51,63.58,8,1,Sul,Não,26-35,49+
Cliente 0845,62,Standard,39,113.28,5,4,Sudeste,Sim,56+,37-48
Cliente 0566,68,Básico,40,83.38,0,0,Sudeste,Não,56+,37-48
Cliente 0856,47,Standard,43,104.36,1,3,Sudeste,Não,46-55,37-48
Cliente 0701,59,Standard,34,103.31,0,12,Sudeste,Sim,56+,25-36
Cliente 0027,47,Básico,43,81.3,0,0,Sudeste,Não,46-55,37-48
Cliente 0363,48,Premium,1,163.43,1,6,Sudeste,Sim,46-55,0-12
Cliente 0269,40,Básico,46,59.92,0,0,Nordeste,Sim,36-45,37-48
Cliente 0064,31,Básico,1,80.09,0,5,Nordeste,Sim,26-35,0-12
Cliente 0748,25,Básico,26,62.18,1,1,Sul,Não,18-25,25-36
Cliente 0559,67,Básico,42,73.95,2,0,Sudeste,Não,56+,37-48
Cliente 0979,37,Básico,48,62.2,0,6,Sudeste,Não,36-45,37-48
Cliente 0034,32,Standard,3,111.49,5,6,Sudeste,Sim,26-35,0-12
Cliente 0688,38,Básico,3,76.09,2,0,Sul,Não,36-45,0-12
Cliente 0842,30,Básico,34,67.68,6,1,Centro-Oeste,Sim,26-35,25-36
Cliente 0776,47,Básico,30,64.28,4,0,Sul,Sim,46-55,25-36
Cliente 0119,40,Premium,45,156.26,1,0,Norte,Não,36-45,37-48
Cliente 0016,61,Básico,43,65.77,0,6,Norte,Não,56+,37-48
Cliente 0544,32,Standard,21,116.6,2,1,Nordeste,Não,26-35,13-24
Cliente 0043,59,Premium,14,162.79,3,4,Sudeste,Não,56+,13-24
Cliente 0660,59,Premium,60,167.79,0,0,Sudeste,Não,56+,49+
Cliente 0585,26,Standard,59,112.84,0,3,Centro-Oeste,Não,26-35,49+
Cliente 0428,23,Básico,25,75.03,2,0,Sudeste,Sim,18-25,25-36
Cliente 0175,21,Premium,16,161.52,1,4,Sul,Não,18-25,13-24
Cliente 0819,29,Básico,24,60.53,4,2,Sudeste,Sim,26-35,13-24
Cliente 0649,62,Básico,35,83.54,1,3,Sul,Sim,56+,25-36
Cliente 0936,31,Standard,57,104.68,5,1,Sul,Sim,26-35,49+
Cliente 0595,18,Básico,32,79.55,3,2,Sudeste,Não,18-25,25-36
Cliente 0456,37,Nao informado,45,63.95,0,5,Sudeste,Sim,36-45,37-48
Cliente 0740,43,Standard,43,102.37,0,6,Sul,Não,36-45,37-48
Cliente 0094,25,Básico,13,61.96,0,4,Sudeste,Não,18-25,13-24
Cliente 0543,22,Básico,16,70.2,0,2,Sul,Não,18-25,13-24
Cliente 0789,60,Premium,30,167.93,4,1,Sul,Não,56+,25-36
Cliente 0312,27,Standard,51,112.73,2,0,Sul,Não,26-35,49+
Cliente 0488,35,Standard,39,104.3,8,0,Sudeste,Não,26-35,37-48
Cliente 0966,69,Básico,18,64.66,0,3,Sudeste,Sim,56+,13-24
Cliente 0735,34,Básico,7,64.27,7,3,Sudeste,Sim,26-35,0-12
Cliente 0537,32,Standard,42,100.35,2,2,Centro-Oeste,Não,26-35,37-48
Cliente 0154,41,Premium,59,161.55,2,2,Sudeste,Sim,36-45,49+
Cliente 0117,37,Básico,29,72.655,0,1,Sudeste,Não,36-45,25-36
Cliente 0673,68,Premium,7,162.83,1,7,Sudeste,Sim,56+,0-12
Cliente 0409,66,Premium,58,156.98,0,0,Sul,Sim,56+,49+
Cliente 0469,41,Básico,16,82.58,2,3,Nordeste,Não,36-45,13-24
Cliente 0995,41,Básico,25,83.16,3,0,Sul,Não,36-45,25-36
Cliente 0444,26,Standard,34,124.75,0,0,Sul,Não,26-35,25-36
Cliente 0720,45,Standard,36,105.74,3,2,Sudeste,Não,36-45,25-36
Cliente 0854,61,Standard,43,122.6,5,3,Nordeste,Não,56+,37-48
Cliente 0024,69,Premium,9,169.55,1,3,Sudeste,Sim,56+,0-12
Cliente 0031,38,Básico,29,66.55,1,2,Centro-Oeste,Não,36-45,25-36
Cliente 0731,26,Premium,53,151.25,3,1,Sudeste,Não,26-35,49+
Cliente 0001,21,Básico,50,70.08,0,6,Norte,Não,18-25,49+
Cliente 0436,54,Premium,6,168.08,4,7,Sudeste,Sim,46-55,0-12
Cliente 0794,58,Standard,1,103.34,1,6,Sul,Não,56+,0-12
Cliente 0561,42,Standard,35,110.37,4,0,Norte,Não,36-45,25-36
Cliente 0116,23,Básico,20,84.33,0,1,Sudeste,Não,18-25,13-24
Cliente 0509,22,Premium,20,171.98,3,2,Centro-Oeste,Não,18-25,13-24
Cliente 0033,64,Básico,35,60.97,8,0,Sul,Não,56+,25-36
Cliente 0706,48,Standard,31,109.87,0,4,Nordeste,Não,46-55,25-36
Cliente 0812,54,Standard,44,124.76,0,1,Centro-Oeste,Sim,46-55,37-48
Cliente 0039,22,Standard,26,110.06,3,0,Sudeste,Não,18-25,25-36
Cliente 0025,54,Premium,22,159.8,0,1,Nordeste,Não,46-55,13-24
Cliente 0850,41,Standard,41,108.14,0,0,Sudeste,Sim,36-45,37-48
Cliente 0200,42,Standard,35,121.6,7,6,Norte,Sim,36-45,25-36
Cliente 0206,33,Premium,8,170.23,2,0,Sudeste,Não,26-35,0-12
Cliente 0555,61,Premium,14,171.08,0,1,Sudeste,Não,56+,13-24
Cliente 0915,23,Standard,40,121.86,4,4,Centro-Oeste,Não,18-25,37-48
Cliente 0931,70,Básico,31,61.41,0,5,Sul,Não,56+,25-36
Cliente 0259,57,Básico,60,64.88,0,0,Nordeste,Não,56+,49+
Cliente 0786,54,Standard,38,102.25,3,1,Centro-Oeste,Não,46-55,37-48
Cliente 0265,46,Premium,22,161.73,1,2,Nordeste,Não,46-55,13-24
Cliente 0620,43,Standard,6,103.51,0,3,Sudeste,Sim,36-45,0-12
Cliente 0539,28,Premium,39,159.34,0,1,Sudeste,Não,26-35,37-48
Cliente 0296,26,Standard,35,109.83,7,5,Sul,Sim,26-35,25-36
Cliente 0615,63,Standard,54,123.81,4,8,Sul,Não,56+,49+
Cliente 0948,58,Premium,9,167.91,7,2,Nordeste,Sim,56+,0-12
Cliente 0106,30,Básico,38,74.75,3,1,Sul,Sim,26-35,37-48
Cliente 0072,64,Premium,40,159.51,2,2,Sudeste,Não,56+,37-48
Cliente 0235,33,Standard,36,109.08,0,1,Norte,Não,26-35,25-36
Cliente 0348,41,Básico,19,63.66,0,3,Centro-Oeste,Não,36-45,13-24
Cliente 0689,54,Standard,33,101.05,3,0,Norte,Não,46-55,25-36
Cliente 0403,50,Premium,9,152.58,0,0,Sudeste,Não,46-55,0-12
Cliente 0840,52,Premium,26,151.62,0,1,Sul,Não,46-55,25-36
Cliente 0521,26,Standard,12,116.75,4,0,Sudeste,Sim,26-35,0-12
Cliente 0510,41,Básico,25,81.02,3,7,Sul,Sim,36-45,25-36
Cliente 0977,59,Premium,3,166.75,6,7,Sul,Sim,56+,0-12
Cliente 0050,23,Básico,3,68.87,6,4,Sul,Sim,18-25,0-12
Cliente 0387,45,Standard,14,122.24,0,1,Sul,Não,36-45,13-24
Cliente 0303,42,Básico,21,64.68,1,8,Sudeste,Não,36-45,13-24
Cliente 0180,55,Standard,21,121.9,4,1,Sudeste,Sim,46-55,13-24
Cliente 0202,60,Premium,23,151.83,0,7,Sudeste,Sim,56+,13-24
Cliente 0744,64,Premium,30,163.01,1,1,Sul,Não,56+,25-36
Cliente 0762,54,Standard,54,102.47,0,7,Sudeste,Não,46-55,49+
Cliente 0232,33,Standard,6,116.45,3,5,Sudeste,Sim,26-35,0-12
Cliente 0451,66,Básico,12,84.69,7,5,Sul,Sim,56+,0-12
Cliente 0914,27,Básico,14,83.68,3,4,Nordeste,Não,26-35,13-24
Cliente 0801,42,Standard,14,122.01,8,9,Norte,Não,36-45,13-24
Cliente 0806,28,Premium,34,170.27,4,1,Sudeste,Sim,26-35,25-36
Cliente 0973,69,Básico,52,60.49,0,1,Sudeste,Não,56+,49+
Cliente 0606,40,Standard,40,114.58,0,2,Sudeste,Sim,36-45,37-48
Cliente 0298,28,Básico,38,77.88,0,3,Sudeste,Não,26-35,37-48
Cliente 0749,19,Standard,1,113.02,0,0,Sul,Não,18-25,0-12
Cliente 0788,60,Premium,55,171.59,0,9,Sul,Não,56+,49+
Cliente 0126,28,Básico,9,64.23,0,1,Sudeste,Não,26-35,0-12
Cliente 0992,39,Standard,6,106.77,0,3,Sudeste,Não,36-45,0-12
Cliente 0552,38,Premium,44,172.53,0,2,Sudeste,Não,36-45,37-48
Cliente 0882,37,Standard,29,107.93,1,5,Centro-Oeste,Não,36-45,25-36
Cliente 0021,64,Básico,58,74.15,0,7,Centro-Oeste,Não,56+,49+
Cliente 0831,46,Premium,46,171.72,1,0,Centro-Oeste,Não,46-55,37-48
Cliente 0754,65,Premium,29,157.79,0,3,Sudeste,Não,56+,25-36
Cliente 0278,21,Básico,35,67.01,0,5,Sudeste,Sim,18-25,25-36
Cliente 0930,25,Básico,15,73.24,0,4,Sudeste,Não,18-25,13-24
Cliente 0257,64,Básico,22,78.46,3,0,Sul,Sim,56+,13-24
Cliente 0399,29,Premium,10,172.36,0,12,Centro-Oeste,Sim,26-35,0-12
Cliente 0990,23,Standard,35,117.41,1,2,Sudeste,Não,18-25,25-36
Cliente 0212,66,Standard,53,109.44,0,2,Sudeste,Não,56+,49+
Cliente 0656,22,Básico,15,77.86,0,7,Sul,Sim,18-25,13-24
Cliente 0090,58,Premium,23,173.55,5,0,Sul,Não,56+,13-24
Cliente 0405,52,Básico,60,65.34,1,1,Sudeste,Não,46-55,49+
Cliente 0192,50,Standard,30,112.86,0,0,Centro-Oeste,Não,46-55,25-36
Cliente 0664,59,Básico,51,67.32,0,2,Sudeste,Sim,56+,49+
Cliente 0672,29,Premium,53,167.54,2,4,Nordeste,Sim,26-35,49+
Cliente 0974,54,Premium,20,159.06,0,0,Centro-Oeste,Não,46-55,13-24
Cliente 0475,48,Standard,53,106.43,4,0,Sudeste,Sim,46-55,49+
Cliente 0871,46,Básico,54,66.1,0,1,Sudeste,Não,46-55,49+
Cliente 0734,37,Básico,60,64.89,4,1,Sul,Sim,36-45,49+
Cliente 0028,30,Premium,12,159.46,3,5,Sudeste,Sim,26-35,0-12
Cliente 0224,41,Básico,22,70.43,1,2,Norte,Não,36-45,13-24
Cliente 0217,48,Standard,29,123.06,0,1,Centro-Oeste,Não,46-55,25-36
Cliente 0249,49,Básico,47,78.55,0,1,Norte,Sim,46-55,37-48
Cliente 0190,48,Premium,36,150.89,0,1,Sudeste,Não,46-55,25-36
Cliente 0667,31,Premium,15,167.58,3,2,Sudeste,Não,26-35,13-24
Cliente 0392,64,Standard,6,119.27,0,0,Nordeste,Sim,56+,0-12
Cliente 0071,31,Standard,10,121.28,1,10,Norte,Sim,26-35,0-12
Cliente 0653,44,Básico,5,79.83,0,0,Sudeste,Sim,36-45,0-12
Cliente 0534,59,Premium,31,174.67,1,7,Sul,Não,56+,25-36
Cliente 0983,50,Básico,2,83.29,7,1,Nordeste,Sim,46-55,0-12
Cliente 0693,50,Premium,50,156.88,1,1,Centro-Oeste,Não,46-55,49+
Cliente 0712,50,Standard,5,114.33,8,0,Sudeste,Sim,46-55,0-12
Cliente 0220,37,Premium,35,152.04,4,0,Sudeste,Sim,36-45,25-36
Cliente 0234,20,Premium,45,164.88,1,3,Sudeste,Não,18-25,37-48
Cliente 0415,29,Standard,12,118.05,0,5,Nordeste,Sim,26-35,0-12
Cliente 0289,48,Standard,47,118.18,2,12,Sudeste,Sim,46-55,37-48
Cliente 0945,47,Premium,57,172.54,2,3,Nordeste,Não,46-55,49+
Cliente 0707,56,Básico,22,75.52,1,1,Centro-Oeste,Sim,56+,13-24
Cliente 0367,18,Standard,32,108.17,0,0,Sul,Sim,18-25,25-36
Cliente 0515,38,Standard,7,114.84,4,0,Sudeste,Não,36-45,0-12
Cliente 0849,70,Standard,10,114.83,5,5,Nordeste,Sim,56+,0-12
Cliente 0625,41,Standard,11,112.08,2,6,Sudeste,Sim,36-45,0-12
Cliente 0833,33,Básico,41,76.35,2,0,Sul,Não,26-35,37-48
Cliente 0565,67,Básico,8,60.92,1,1,Centro-Oeste,Não,56+,0-12
Cliente 0643,46,Standard,34,119.74,3,0,Centro-Oeste,Não,46-55,25-36
Cliente 0607,45,Standard,3,109.68,6,1,Centro-Oeste,Sim,36-45,0-12
Cliente 0334,64,Básico,22,67.42,0,4,Centro-Oeste,Sim,56+,13-24
Cliente 0705,62,Básico,10,82.96,0,0,Sudeste,Não,56+,0-12
Cliente 0105,26,Básico,52,67.51,0,1,Sudeste,Não,26-35,49+
Cliente 0129,65,Standard,3,101.28,0,4,Nordeste,Não,56+,0-12
Cliente 0774,23,Premium,37,152.79,2,5,Sul,Não,18-25,37-48
Cliente 0564,55,Básico,32,80.93,2,5,Sul,Sim,46-55,25-36
Cliente 0984,32,Standard,5,111.77,3,12,Sul,Sim,26-35,0-12
Cliente 0242,40,Básico,17,84.5,1,9,Nordeste,Sim,36-45,13-24
Cliente 0678,56,Standard,38,114.67,0,2,Sudeste,Não,56+,37-48
Cliente 0007,49,Nao informado,27,109.26,0,4,Nordeste,Não,46-55,25-36
Cliente 0661,40,Básico,33,61.1,1,3,Sudeste,Sim,36-45,25-36
Cliente 0404,46,Standard,27,111.63,5,0,Centro-Oeste,Não,46-55,25-36
Cliente 0941,24,Standard,8,114.41,1,3,Sudeste,Não,18-25,0-12
Cliente 0550,32,Básico,26,74.93,0,2,Sudeste,Sim,26-35,25-36
Cliente 0668,55,Standard,50,114.3,3,0,Sul,Não,46-55,49+
Cliente 0669,62,Premium,44,172.74,2,5,Sul,Não,56+,37-48
Cliente 0062,46,Premium,1,152.24,0,0,Sudeste,Não,46-55,0-12
Cliente 0527,55,Premium,41,152.11,1,2,Sudeste,Não,46-55,37-48
Cliente 0446,46,Standard,34,120.87,0,0,Sudeste,Não,46-55,25-36
Cliente 0063,70,Premium,58,158.87,2,4,Nordeste,Sim,56+,49+
Cliente 0038,36,Standard,7,110.97,1,0,Nordeste,Não,36-45,0-12
Cliente 0839,69,Básico,42,76.49,0,0,Sudeste,Não,56+,37-48
Cliente 0626,58,Básico,58,73.19,2,0,Sul,Não,56+,49+
Cliente 0711,53,Standard,5,119.78,0,1,Sudeste,Sim,46-55,0-12
Cliente 0166,38,Premium,28,157.29,0,10,Sudeste,Sim,36-45,25-36
Cliente 0619,43,Básico,47,67.82,0,8,Sudeste,Não,36-45,37-48
Cliente 0733,29,Standard,10,107.7,0,5,Sudeste,Não,26-35,0-12
Cliente 0894,20,Básico,14,60.42,3,4,Sul,Não,18-25,13-24
Cliente 0551,22,Básico,14,73.92,0,1,Sudeste,Não,18-25,13-24
Cliente 0785,44,Standard,37,108.69,5,0,Norte,Não,36-45,37-48
Cliente 0401,19,Standard,20,110.87,0,5,Sudeste,Não,18-25,13-24
Cliente 0885,34,Premium,58,161.56,2,3,Sul,Sim,26-35,49+
Cliente 0603,24,Básico,6,69.38,0,11,Sul,Sim,18-25,0-12
Cliente 0013,18,Básico,5,72.66,2,0,Sul,Não,18-25,0-12
Cliente 0932,38,Premium,42,151.13,4,6,Sudeste,Sim,36-45,37-48
Cliente 0703,62,Básico,8,79.01,2,0,Sudeste,Não,56+,0-12
Cliente 0440,39,Premium,56,166.61,2,0,Sul,Não,36-45,49+
Cliente 0287,28,Básico,57,76.15,0,0,Sudeste,Não,26-35,49+
Cliente 0145,40,Standard,38,114.48,0,4,Sudeste,Não,36-45,37-48
Cliente 0926,23,Standard,39,112.68,0,1,Sudeste,Não,18-25,37-48
Cliente 0594,34,Básico,46,68.53,2,0,Nordeste,Não,26-35,37-48
Cliente 0414,64,Premium,19,174.6,1,0,Centro-Oeste,Não,56+,13-24
Cliente 0911,56,Básico,11,70.08,2,2,Nordeste,Não,56+,0-12
Cliente 0750,51,Básico,46,80.24,0,1,Centro-Oeste,Não,46-55,37-48
Cliente 0478,63,Básico,26,65.28,0,0,Centro-Oeste,Não,56+,25-36
Cliente 0709,22,Premium,41,160.15,2,1,Centro-Oeste,Sim,18-25,37-48
Cliente 0800,65,Standard,3,110.37,0,2,Sudeste,Não,56+,0-12
Cliente 0026,68,Standard,39,124.16,0,2,Sudeste,Não,56+,37-48
Cliente 0590,47,Básico,8,80.69,0,0,Sudeste,Não,46-55,0-12
Cliente 0082,59,Premium,22,166.8,0,0,Sudeste,Sim,56+,13-24
Cliente 0362,59,Premium,52,160.35,8,1,Centro-Oeste,Sim,56+,49+
Cliente 0134,70,Básico,9,66.08,0,1,Nordeste,Não,56+,0-12
Cliente 0002,39,Básico,4,63.89,0,1,Centro-Oeste,Sim,36-45,0-12
Cliente 0747,56,Premium,55,166.52,3,5,Sudeste,Sim,56+,49+
Cliente 0020,67,Básico,34,68.02,1,2,Centro-Oeste,Sim,56+,25-36
Cliente 0030,38,Básico,25,61.19,1,0,Sudeste,Não,36-45,25-36
Cliente 0335,22,Básico,47,65.62,2,2,Nordeste,Sim,18-25,37-48
Cliente 0502,22,Standard,3,104.17,2,0,Nordeste,Não,18-25,0-12
Cliente 0969,40,Premium,52,163.25,2,4,Sudeste,Sim,36-45,49+
Cliente 0584,50,Básico,9,69.38,1,3,Sul,Sim,46-55,0-12
Cliente 0351,39,Básico,3,69.64,0,0,Nordeste,Sim,36-45,0-12
Cliente 0084,43,Standard,12,119.18,4,2,Sudeste,Não,36-45,0-12
Cliente 0496,18,Standard,13,104.04,1,1,Sudeste,Não,18-25,13-24
Cliente 0331,61,Básico,12,75.39,4,12,Sudeste,Sim,56+,0-12
